role,company_name,job_description,resume_text,resume_keywords,is_selected,callbacks_from_company
Data Scientist,BluePeak Technologies,"We are hiring a Data Scientist for our telecom platform. Required skills: pandas, feature engineering, scikit-learn, model evaluation, a/b testing. Preferred tools: sql, seaborn, matplotlib. Responsibilities include designed experiments, built predictive models, and improved forecasting accuracy.","Data Scientist with hands-on experience in ecommerce. Key strengths include pandas, statistical analysis, a/b testing, python, nlp and practical delivery in production systems. Experience: designed experiments, developed recommendation logic, and built predictive models. Tools used: mlflow, xgboost, sql. Achievements: improved model accuracy by 24%; cut incident volume by 33%. Additional exposure: aws.","feature engineering, scikit-learn, time series, a/b testing, python, jupyter, matplotlib, improved forecasting accuracy, designed experiments",0,0
Data Scientist,Apex Solutions,"We are hiring a Data Scientist for our healthcare platform. Required skills: feature engineering, time series, model evaluation, nlp, scikit-learn. Preferred tools: sql, seaborn, airflow. Responsibilities include developed recommendation logic, analyzed large datasets, and built predictive models.","Data Scientist with hands-on experience in edtech. Key strengths include feature engineering, python, model evaluation, nlp, a/b testing and practical delivery in production systems. Experience: designed experiments, improved forecasting accuracy, and built predictive models. Tools used: matplotlib, xgboost, mlflow. Achievements: saved 32 engineering hours per month; improved model accuracy by 66%. Additional exposure: vulnerability assessment.","statistical analysis, time series, model evaluation, a/b testing, pandas, matplotlib, xgboost, designed experiments, improved forecasting accuracy",0,1
Data Scientist,Orbit Systems,"We are hiring a Data Scientist for our edtech platform. Required skills: feature engineering, nlp, statistical analysis, pandas, model evaluation. Preferred tools: jupyter, xgboost, mlflow. Responsibilities include improved forecasting accuracy, built predictive models, and analyzed large datasets.","Data Scientist with hands-on experience in banking. Key strengths include model evaluation, a/b testing, nlp, statistical analysis, pandas and practical delivery in production systems. Experience: built predictive models, designed experiments, and improved forecasting accuracy. Tools used: matplotlib, sql, mlflow. Achievements: saved 33 engineering hours per month; improved throughput by 64%. Additional exposure: soc operations.","statistical analysis, nlp, model evaluation, time series, a/b testing, sql, xgboost, analyzed large datasets, developed recommendation logic",0,1
Data Scientist,Apex Works,"We are hiring a Data Scientist for our logistics platform. Required skills: a/b testing, statistical analysis, time series, feature engineering, nlp. Preferred tools: mlflow, seaborn, sql. Responsibilities include improved forecasting accuracy, designed experiments, and built predictive models.","Data Scientist with hands-on experience in banking. Key strengths include nlp, scikit-learn, statistical analysis, model evaluation, feature engineering and practical delivery in production systems. Experience: analyzed large datasets, built predictive models, and developed recommendation logic. Tools used: sql, jupyter, matplotlib. Achievements: improved model accuracy by 45%; saved 50 engineering hours per month. Additional exposure: redis.","feature engineering, a/b testing, model evaluation, pandas, scikit-learn, sql, jupyter, designed experiments, analyzed large datasets",1,3
Data Scientist,Apex Systems,"We are hiring a Data Scientist for our fintech platform. Required skills: statistical analysis, a/b testing, python, scikit-learn, model evaluation. Preferred tools: xgboost, sql, seaborn. Responsibilities include developed recommendation logic, analyzed large datasets, and improved forecasting accuracy.","Data Scientist with hands-on experience in ecommerce. Key strengths include nlp, statistical analysis, model evaluation, pandas, a/b testing and practical delivery in production systems. Experience: designed experiments, improved forecasting accuracy, and analyzed large datasets. Tools used: jupyter, sql, seaborn. Achievements: reduced cloud costs by 38%; cut incident volume by 61%. Additional exposure: tableau.","nlp, feature engineering, time series, statistical analysis, python, sql, airflow, improved forecasting accuracy, analyzed large datasets",0,0
Data Scientist,Nova Solutions,"We are hiring a Data Scientist for our banking platform. Required skills: feature engineering, pandas, nlp, python, time series. Preferred tools: jupyter, airflow, mlflow. Responsibilities include built predictive models, developed recommendation logic, and improved forecasting accuracy.","Data Scientist with hands-on experience in fintech. Key strengths include pandas, statistical analysis, time series, nlp, a/b testing and practical delivery in production systems. Experience: designed experiments, analyzed large datasets, and improved forecasting accuracy. Tools used: jupyter, airflow, sql. Achievements: reduced cloud costs by 68%; cut incident volume by 29%. Additional exposure: junit.","nlp, time series, statistical analysis, python, feature engineering, mlflow, xgboost, analyzed large datasets, improved forecasting accuracy",0,0
Data Scientist,BluePeak Solutions,"We are hiring a Data Scientist for our healthcare platform. Required skills: nlp, pandas, model evaluation, scikit-learn, feature engineering. Preferred tools: xgboost, jupyter, matplotlib. Responsibilities include built predictive models, designed experiments, and improved forecasting accuracy.","Data Scientist with hands-on experience in telecom. Key strengths include model evaluation, scikit-learn, feature engineering, statistical analysis, python and practical delivery in production systems. Experience: built predictive models, developed recommendation logic, and analyzed large datasets. Tools used: xgboost, mlflow, airflow. Achievements: cut incident volume by 37%; improved model accuracy by 24%. Additional exposure: prioritization.","statistical analysis, model evaluation, python, feature engineering, scikit-learn, jupyter, sql, improved forecasting accuracy, built predictive models",1,3
Data Scientist,Quantum Digital,"We are hiring a Data Scientist for our healthcare platform. Required skills: feature engineering, a/b testing, pandas, nlp, time series. Preferred tools: matplotlib, seaborn, sql. Responsibilities include designed experiments, built predictive models, and analyzed large datasets.","Data Scientist with hands-on experience in ecommerce. Key strengths include statistical analysis, scikit-learn, model evaluation, feature engineering, a/b testing and practical delivery in production systems. Experience: improved forecasting accuracy, developed recommendation logic, and designed experiments. Tools used: matplotlib, xgboost, sql. Achievements: increased conversion by 66%; reduced latency by 65%. Additional exposure: requirements gathering.","model evaluation, scikit-learn, nlp, pandas, a/b testing, xgboost, airflow, designed experiments, developed recommendation logic",0,0
Data Scientist,Orbit Analytics,"We are hiring a Data Scientist for our edtech platform. Required skills: feature engineering, model evaluation, nlp, time series, a/b testing. Preferred tools: airflow, sql, matplotlib. Responsibilities include designed experiments, developed recommendation logic, and improved forecasting accuracy.","Data Scientist with hands-on experience in fintech. Key strengths include time series, nlp, python, pandas, a/b testing and practical delivery in production systems. Experience: improved forecasting accuracy, developed recommendation logic, and analyzed large datasets. Tools used: sql, matplotlib, mlflow. Achievements: increased conversion by 26%; cut incident volume by 56%. Additional exposure: excel.","a/b testing, feature engineering, scikit-learn, statistical analysis, pandas, jupyter, seaborn, analyzed large datasets, designed experiments",1,2
Data Scientist,BluePeak Systems,"We are hiring a Data Scientist for our telecom platform. Required skills: scikit-learn, a/b testing, python, statistical analysis, feature engineering. Preferred tools: airflow, sql, seaborn. Responsibilities include improved forecasting accuracy, designed experiments, and built predictive models.","Data Scientist with hands-on experience in retail. Key strengths include feature engineering, time series, python, pandas, scikit-learn and practical delivery in production systems. Experience: designed experiments, built predictive models, and developed recommendation logic. Tools used: mlflow, airflow, xgboost. Achievements: increased conversion by 14%; improved throughput by 47%. Additional exposure: automation testing.","python, feature engineering, statistical analysis, nlp, time series, xgboost, jupyter, improved forecasting accuracy, developed recommendation logic",1,1
Data Scientist,Vertex Systems,"We are hiring a Data Scientist for our fintech platform. Required skills: pandas, nlp, model evaluation, time series, scikit-learn. Preferred tools: seaborn, jupyter, mlflow. Responsibilities include analyzed large datasets, developed recommendation logic, and designed experiments.","Data Scientist with hands-on experience in telecom. Key strengths include pandas, nlp, python, feature engineering, a/b testing and practical delivery in production systems. Experience: analyzed large datasets, improved forecasting accuracy, and developed recommendation logic. Tools used: matplotlib, xgboost, seaborn. Achievements: reduced cloud costs by 49%; cut incident volume by 31%. Additional exposure: prototyping.","pandas, scikit-learn, python, nlp, model evaluation, seaborn, matplotlib, improved forecasting accuracy, designed experiments",1,3
Data Scientist,Orbit Digital,"We are hiring a Data Scientist for our ecommerce platform. Required skills: feature engineering, time series, nlp, python, statistical analysis. Preferred tools: seaborn, airflow, sql. Responsibilities include designed experiments, improved forecasting accuracy, and analyzed large datasets.","Data Scientist with hands-on experience in retail. Key strengths include pandas, nlp, scikit-learn, model evaluation, feature engineering and practical delivery in production systems. Experience: built predictive models, analyzed large datasets, and designed experiments. Tools used: seaborn, mlflow, sql. Achievements: reduced cloud costs by 21%; improved throughput by 15%. Additional exposure: rest api.","pandas, python, nlp, model evaluation, scikit-learn, matplotlib, airflow, built predictive models, developed recommendation logic",1,1
Data Scientist,Orbit Analytics,"We are hiring a Data Scientist for our healthcare platform. Required skills: scikit-learn, model evaluation, nlp, a/b testing, statistical analysis. Preferred tools: airflow, seaborn, sql. Responsibilities include developed recommendation logic, built predictive models, and analyzed large datasets.","Data Scientist with hands-on experience in fintech. Key strengths include scikit-learn, a/b testing, feature engineering, model evaluation, nlp and practical delivery in production systems. Experience: improved forecasting accuracy, developed recommendation logic, and built predictive models. Tools used: airflow, mlflow, matplotlib. Achievements: cut incident volume by 33%; increased conversion by 54%. Additional exposure: prototyping.","pandas, model evaluation, scikit-learn, statistical analysis, python, xgboost, sql, developed recommendation logic, built predictive models",0,0
Data Scientist,Nex Labs,"We are hiring a Data Scientist for our edtech platform. Required skills: scikit-learn, feature engineering, a/b testing, python, statistical analysis. Preferred tools: sql, jupyter, mlflow. Responsibilities include built predictive models, improved forecasting accuracy, and developed recommendation logic.","Data Scientist with hands-on experience in edtech. Key strengths include time series, model evaluation, feature engineering, nlp, a/b testing and practical delivery in production systems. Experience: designed experiments, analyzed large datasets, and improved forecasting accuracy. Tools used: xgboost, jupyter, mlflow. Achievements: cut incident volume by 19%; improved throughput by 52%. Additional exposure: usability testing.","scikit-learn, a/b testing, model evaluation, time series, feature engineering, seaborn, airflow, improved forecasting accuracy, developed recommendation logic",0,0
Data Scientist,Vertex Solutions,"We are hiring a Data Scientist for our retail platform. Required skills: scikit-learn, a/b testing, feature engineering, nlp, time series. Preferred tools: airflow, matplotlib, seaborn. Responsibilities include improved forecasting accuracy, developed recommendation logic, and analyzed large datasets.","Data Scientist with hands-on experience in edtech. Key strengths include time series, scikit-learn, statistical analysis, python, a/b testing and practical delivery in production systems. Experience: developed recommendation logic, designed experiments, and built predictive models. Tools used: xgboost, sql, airflow. Achievements: increased conversion by 65%; saved 49 engineering hours per month. Additional exposure: inference optimization.","nlp, time series, feature engineering, a/b testing, pandas, xgboost, sql, built predictive models, designed experiments",0,0
Data Scientist,Nex Solutions,"We are hiring a Data Scientist for our retail platform. Required skills: feature engineering, model evaluation, time series, a/b testing, nlp. Preferred tools: seaborn, jupyter, airflow. Responsibilities include developed recommendation logic, improved forecasting accuracy, and analyzed large datasets.","Data Scientist with hands-on experience in ecommerce. Key strengths include a/b testing, python, pandas, feature engineering, model evaluation and practical delivery in production systems. Experience: built predictive models, improved forecasting accuracy, and developed recommendation logic. Tools used: airflow, jupyter, sql. Achievements: reduced cloud costs by 53%; reduced latency by 16%. Additional exposure: mongodb.","a/b testing, python, feature engineering, time series, pandas, seaborn, xgboost, designed experiments, analyzed large datasets",0,0
Data Scientist,Apex Works,"We are hiring a Data Scientist for our ecommerce platform. Required skills: scikit-learn, time series, python, feature engineering, nlp. Preferred tools: matplotlib, seaborn, mlflow. Responsibilities include improved forecasting accuracy, analyzed large datasets, and built predictive models.","Data Scientist with hands-on experience in healthcare. Key strengths include a/b testing, scikit-learn, model evaluation, time series, python and practical delivery in production systems. Experience: designed experiments, developed recommendation logic, and analyzed large datasets. Tools used: jupyter, airflow, xgboost. Achievements: reduced latency by 45%; cut incident volume by 48%. Additional exposure: flask.","a/b testing, feature engineering, nlp, scikit-learn, python, xgboost, sql, designed experiments, analyzed large datasets",1,3
Data Scientist,Orbit Digital,"We are hiring a Data Scientist for our banking platform. Required skills: feature engineering, python, time series, model evaluation, a/b testing. Preferred tools: matplotlib, seaborn, sql. Responsibilities include designed experiments, analyzed large datasets, and developed recommendation logic.","Data Scientist with hands-on experience in banking. Key strengths include feature engineering, a/b testing, statistical analysis, scikit-learn, pandas and practical delivery in production systems. Experience: analyzed large datasets, improved forecasting accuracy, and designed experiments. Tools used: sql, xgboost, jupyter. Achievements: improved model accuracy by 30%; improved throughput by 65%. Additional exposure: microservices.","model evaluation, nlp, time series, pandas, feature engineering, airflow, seaborn, analyzed large datasets, built predictive models",0,0
Data Scientist,Orbit Works,"We are hiring a Data Scientist for our ecommerce platform. Required skills: feature engineering, a/b testing, statistical analysis, scikit-learn, model evaluation. Preferred tools: xgboost, jupyter, sql. Responsibilities include built predictive models, analyzed large datasets, and developed recommendation logic.","Data Scientist with hands-on experience in retail. Key strengths include python, model evaluation, a/b testing, pandas, time series and practical delivery in production systems. Experience: analyzed large datasets, developed recommendation logic, and built predictive models. Tools used: airflow, xgboost, sql. Achievements: saved 44 engineering hours per month; increased conversion by 65%. Additional exposure: selenium.","statistical analysis, model evaluation, python, nlp, time series, airflow, matplotlib, built predictive models, improved forecasting accuracy",0,0
Data Scientist,Orbit Analytics,"We are hiring a Data Scientist for our healthcare platform. Required skills: scikit-learn, python, a/b testing, time series, nlp. Preferred tools: jupyter, xgboost, mlflow. Responsibilities include developed recommendation logic, analyzed large datasets, and improved forecasting accuracy.","Data Scientist with hands-on experience in banking. Key strengths include model evaluation, pandas, time series, a/b testing, nlp and practical delivery in production systems. Experience: designed experiments, analyzed large datasets, and developed recommendation logic. Tools used: jupyter, matplotlib, seaborn. Achievements: improved model accuracy by 31%; improved model accuracy by 38%. Additional exposure: redux.","a/b testing, model evaluation, time series, statistical analysis, feature engineering, sql, matplotlib, analyzed large datasets, improved forecasting accuracy",0,0
Data Scientist,Nex Technologies,"We are hiring a Data Scientist for our retail platform. Required skills: pandas, nlp, model evaluation, statistical analysis, feature engineering. Preferred tools: jupyter, xgboost, airflow. Responsibilities include analyzed large datasets, developed recommendation logic, and designed experiments.","Data Scientist with hands-on experience in fintech. Key strengths include model evaluation, nlp, a/b testing, statistical analysis, pandas and practical delivery in production systems. Experience: designed experiments, developed recommendation logic, and built predictive models. Tools used: xgboost, airflow, jupyter. Achievements: reduced latency by 19%; reduced cloud costs by 64%. Additional exposure: sqlalchemy.","nlp, pandas, statistical analysis, feature engineering, a/b testing, matplotlib, mlflow, analyzed large datasets, designed experiments",0,0
Data Scientist,Nova Technologies,"We are hiring a Data Scientist for our ecommerce platform. Required skills: statistical analysis, pandas, model evaluation, python, nlp. Preferred tools: sql, airflow, matplotlib. Responsibilities include developed recommendation logic, built predictive models, and analyzed large datasets.","Data Scientist with hands-on experience in ecommerce. Key strengths include scikit-learn, feature engineering, statistical analysis, pandas, python and practical delivery in production systems. Experience: built predictive models, designed experiments, and developed recommendation logic. Tools used: seaborn, jupyter, mlflow. Achievements: improved throughput by 23%; increased conversion by 15%. Additional exposure: requirements gathering.","time series, nlp, feature engineering, python, statistical analysis, airflow, sql, built predictive models, developed recommendation logic",0,0
Data Scientist,Nex Digital,"We are hiring a Data Scientist for our saas platform. Required skills: feature engineering, a/b testing, time series, statistical analysis, nlp. Preferred tools: jupyter, seaborn, xgboost. Responsibilities include developed recommendation logic, analyzed large datasets, and improved forecasting accuracy.","Data Scientist with hands-on experience in healthcare. Key strengths include a/b testing, time series, python, statistical analysis, scikit-learn and practical delivery in production systems. Experience: analyzed large datasets, designed experiments, and improved forecasting accuracy. Tools used: matplotlib, mlflow, jupyter. Achievements: saved 57 engineering hours per month; increased conversion by 36%. Additional exposure: threat analysis.","a/b testing, nlp, time series, scikit-learn, statistical analysis, sql, xgboost, built predictive models, designed experiments",1,3
Data Scientist,Prime Systems,"We are hiring a Data Scientist for our logistics platform. Required skills: statistical analysis, python, scikit-learn, feature engineering, time series. Preferred tools: airflow, jupyter, matplotlib. Responsibilities include developed recommendation logic, analyzed large datasets, and built predictive models.","Data Scientist with hands-on experience in retail. Key strengths include pandas, time series, statistical analysis, python, model evaluation and practical delivery in production systems. Experience: analyzed large datasets, built predictive models, and designed experiments. Tools used: sql, jupyter, airflow. Achievements: increased conversion by 54%; improved throughput by 38%. Additional exposure: api testing.","a/b testing, nlp, statistical analysis, python, scikit-learn, xgboost, matplotlib, designed experiments, built predictive models",0,0
Data Scientist,Nex Works,"We are hiring a Data Scientist for our banking platform. Required skills: pandas, scikit-learn, model evaluation, statistical analysis, python. Preferred tools: jupyter, seaborn, matplotlib. Responsibilities include analyzed large datasets, improved forecasting accuracy, and developed recommendation logic.","Data Scientist with hands-on experience in saas. Key strengths include time series, python, feature engineering, model evaluation, scikit-learn and practical delivery in production systems. Experience: designed experiments, developed recommendation logic, and analyzed large datasets. Tools used: jupyter, mlflow, airflow. Achievements: reduced cloud costs by 21%; saved 54 engineering hours per month. Additional exposure: power bi.","a/b testing, model evaluation, pandas, scikit-learn, time series, seaborn, airflow, developed recommendation logic, built predictive models",0,1
Data Scientist,Nova Digital,"We are hiring a Data Scientist for our retail platform. Required skills: time series, feature engineering, python, pandas, nlp. Preferred tools: matplotlib, jupyter, seaborn. Responsibilities include analyzed large datasets, designed experiments, and built predictive models.","Data Scientist with hands-on experience in healthcare. Key strengths include feature engineering, a/b testing, model evaluation, nlp, statistical analysis and practical delivery in production systems. Experience: designed experiments, analyzed large datasets, and developed recommendation logic. Tools used: matplotlib, sql, seaborn. Achievements: cut incident volume by 19%; increased conversion by 55%. Additional exposure: css.","scikit-learn, feature engineering, time series, statistical analysis, python, jupyter, sql, improved forecasting accuracy, analyzed large datasets",1,2
Data Scientist,Prime Labs,"We are hiring a Data Scientist for our logistics platform. Required skills: scikit-learn, a/b testing, statistical analysis, model evaluation, time series. Preferred tools: jupyter, sql, xgboost. Responsibilities include analyzed large datasets, improved forecasting accuracy, and designed experiments.","Data Scientist with hands-on experience in banking. Key strengths include python, statistical analysis, time series, nlp, a/b testing and practical delivery in production systems. Experience: improved forecasting accuracy, developed recommendation logic, and designed experiments. Tools used: xgboost, airflow, matplotlib. Achievements: increased conversion by 19%; cut incident volume by 13%. Additional exposure: network security.","statistical analysis, pandas, nlp, scikit-learn, model evaluation, mlflow, airflow, analyzed large datasets, built predictive models",0,1
Data Scientist,BluePeak Works,"We are hiring a Data Scientist for our retail platform. Required skills: model evaluation, time series, pandas, nlp, python. Preferred tools: sql, xgboost, airflow. Responsibilities include designed experiments, built predictive models, and analyzed large datasets.","Data Scientist with hands-on experience in logistics. Key strengths include model evaluation, scikit-learn, pandas, python, statistical analysis and practical delivery in production systems. Experience: developed recommendation logic, analyzed large datasets, and designed experiments. Tools used: airflow, mlflow, seaborn. Achievements: reduced cloud costs by 52%; cut incident volume by 41%. Additional exposure: javascript.","time series, pandas, scikit-learn, nlp, model evaluation, jupyter, xgboost, designed experiments, developed recommendation logic",1,1
Data Scientist,Nex Solutions,"We are hiring a Data Scientist for our healthcare platform. Required skills: time series, scikit-learn, python, pandas, nlp. Preferred tools: sql, matplotlib, seaborn. Responsibilities include developed recommendation logic, analyzed large datasets, and improved forecasting accuracy.","Data Scientist with hands-on experience in saas. Key strengths include python, a/b testing, statistical analysis, feature engineering, pandas and practical delivery in production systems. Experience: developed recommendation logic, analyzed large datasets, and built predictive models. Tools used: airflow, matplotlib, sql. Achievements: reduced cloud costs by 65%; increased conversion by 57%. Additional exposure: figma.","model evaluation, feature engineering, nlp, statistical analysis, scikit-learn, seaborn, matplotlib, built predictive models, designed experiments",1,1
Data Scientist,Nex Technologies,"We are hiring a Data Scientist for our ecommerce platform. Required skills: time series, pandas, model evaluation, statistical analysis, nlp. Preferred tools: matplotlib, airflow, jupyter. Responsibilities include designed experiments, developed recommendation logic, and built predictive models.","Data Scientist with hands-on experience in telecom. Key strengths include scikit-learn, model evaluation, python, feature engineering, pandas and practical delivery in production systems. Experience: analyzed large datasets, built predictive models, and developed recommendation logic. Tools used: airflow, xgboost, sql. Achievements: improved model accuracy by 62%; increased conversion by 64%. Additional exposure: cypress.","nlp, model evaluation, statistical analysis, time series, pandas, mlflow, xgboost, analyzed large datasets, built predictive models",1,1
Data Scientist,Nova Digital,"We are hiring a Data Scientist for our telecom platform. Required skills: a/b testing, nlp, feature engineering, pandas, scikit-learn. Preferred tools: xgboost, sql, mlflow. Responsibilities include designed experiments, improved forecasting accuracy, and analyzed large datasets.","Data Scientist with hands-on experience in logistics. Key strengths include scikit-learn, statistical analysis, pandas, a/b testing, model evaluation and practical delivery in production systems. Experience: analyzed large datasets, improved forecasting accuracy, and built predictive models. Tools used: xgboost, seaborn, matplotlib. Achievements: improved model accuracy by 58%; reduced latency by 40%. Additional exposure: celery.","feature engineering, statistical analysis, time series, a/b testing, nlp, mlflow, xgboost, developed recommendation logic, analyzed large datasets",0,1
Data Scientist,Quantum Works,"We are hiring a Data Scientist for our logistics platform. Required skills: python, statistical analysis, time series, nlp, feature engineering. Preferred tools: airflow, mlflow, sql. Responsibilities include built predictive models, designed experiments, and developed recommendation logic.","Data Scientist with hands-on experience in logistics. Key strengths include time series, pandas, model evaluation, feature engineering, python and practical delivery in production systems. Experience: designed experiments, improved forecasting accuracy, and developed recommendation logic. Tools used: airflow, jupyter, mlflow. Achievements: improved throughput by 26%; reduced cloud costs by 40%. Additional exposure: mongodb.","python, model evaluation, time series, a/b testing, scikit-learn, xgboost, mlflow, analyzed large datasets, built predictive models",1,4
Data Scientist,Vertex Works,"We are hiring a Data Scientist for our banking platform. Required skills: a/b testing, pandas, python, nlp, feature engineering. Preferred tools: matplotlib, jupyter, xgboost. Responsibilities include developed recommendation logic, analyzed large datasets, and designed experiments.","Data Scientist with hands-on experience in retail. Key strengths include a/b testing, python, time series, statistical analysis, scikit-learn and practical delivery in production systems. Experience: developed recommendation logic, improved forecasting accuracy, and built predictive models. Tools used: mlflow, xgboost, matplotlib. Achievements: increased conversion by 19%; improved throughput by 27%. Additional exposure: ml pipelines.","scikit-learn, feature engineering, nlp, python, a/b testing, airflow, mlflow, developed recommendation logic, improved forecasting accuracy",1,1
